title,id,date,scraped
"Augenzeuge bei »Querdenker«-Demo: Journalist beschützt Polizisten | DER SPIEGEL",nJPiXvhYX3I,04.08.2021,y
"Protest-Wahnsinn (1): Ein ganz normaler, verrückter Demo-Samstag in Berlin",hJhUD9_ol9Q,21.05.2021,y
"Protest-Wahnsinn (2): Ein ganz normaler, verrückter Demo-Samstag in Berlin",4elupN3D_Gg,21.05.2021,y
"Corona und Grundrechte: Lage der Nation",X3EHnj5YtFU,04.05.2021,y

"Corona: Wann gibt es die Grundrechte zurück? | Markus Lanz vom 04. August 2021",9ZXskpahkqM,05.08.2021
"Merkel: Corona-Tests ab 11. Oktober nicht mehr kostenlos",LcU3JFg5FOs,10.08.2021
"Corona-Regeln: Keine kostenlosen Tests mehr | WDR aktuell",LBWf_aT0ydQ,10.08.2021
"So geht es mit den Corona-Regeln weiter - und diese Fluthilfen sollen kommen | ZDFheute",CvkpqwOZu2o,10.08.2021
"Späte Nebenwirkungen durch Corona-Impfungen? | SWR Wissen Explainer",Z9CHJf0rHXw,10.02.2021
